service_id,stop_id,arrival,departure
06301_01-01-2023-06.15,60000,0,0
06301_01-01-2023-06.15,71801,150,150
03073_01-01-2023-07.30,60000,0,0
03073_01-01-2023-07.30,70200,23,24
03073_01-01-2023-07.30,04040,81,82
03073_01-01-2023-07.30,78400,125,127
03073_01-01-2023-07.30,71500,154,156
03073_01-01-2023-07.30,71801,192,200
03073_01-01-2023-07.30,79300,238,240
03073_01-01-2023-07.30,04307,255,255
03083_01-01-2023-08.30,60000,0,0
03083_01-01-2023-08.30,04040,75,76
03083_01-01-2023-08.30,71801,165,165
03093_01-01-2023-09.30,60000,0,0
03093_01-01-2023-09.30,04040,75,76
03093_01-01-2023-09.30,78400,119,121
03093_01-01-2023-09.30,71500,148,150
03093_01-01-2023-09.30,71801,187,195
03093_01-01-2023-09.30,79300,233,235
03093_01-01-2023-09.30,04307,250,250
06303_01-01-2023-10.30,60000,0,0
06303_01-01-2023-10.30,04040,74,75
06303_01-01-2023-10.30,71801,165,165
03113_01-01-2023-11.30,60000,0,0
03113_01-01-2023-11.30,70600,55,56
03113_01-01-2023-11.30,04040,81,82
03113_01-01-2023-11.30,78400,125,127
03113_01-01-2023-11.30,71500,154,156
03113_01-01-2023-11.30,71801,192,192
03123_01-01-2023-12.30,60000,0,0
03123_01-01-2023-12.30,04040,75,76
03123_01-01-2023-12.30,78400,119,121
03123_01-01-2023-12.30,71801,190,200
03123_01-01-2023-12.30,79300,238,240
03123_01-01-2023-12.30,04307,255,255
03131_01-01-2023-13.00,60000,0,0
03131_01-01-2023-13.00,71801,150,150
19725_01-01-2023-13.25,60000,0,0
19725_01-01-2023-13.25,70200,23,25
19725_01-01-2023-13.25,04040,82,85
19725_01-01-2023-13.25,71500,139,141
19725_01-01-2023-13.25,71801,177,189
19725_01-01-2023-13.25,79300,227,230
19725_01-01-2023-13.25,04307,244,244
03143_01-01-2023-14.30,60000,0,0
03143_01-01-2023-14.30,70600,55,56
03143_01-01-2023-14.30,04040,81,82
03143_01-01-2023-14.30,71801,170,180
03143_01-01-2023-14.30,79300,218,220
03143_01-01-2023-14.30,04307,235,235
03153_01-01-2023-15.30,60000,0,0
03153_01-01-2023-15.30,70600,55,56
03153_01-01-2023-15.30,04040,81,82
03153_01-01-2023-15.30,78400,125,127
03153_01-01-2023-15.30,71500,154,156
03153_01-01-2023-15.30,71801,192,192
03161_01-01-2023-16.00,60000,0,0
03161_01-01-2023-16.00,71801,150,150
03163_01-01-2023-16.30,60000,0,0
03163_01-01-2023-16.30,04040,75,76
03163_01-01-2023-16.30,71801,165,165
03171_01-01-2023-17.00,60000,0,0
03171_01-01-2023-17.00,71801,150,150
03173_01-01-2023-17.30,60000,0,0
03173_01-01-2023-17.30,70200,23,24
03173_01-01-2023-17.30,04040,81,82
03173_01-01-2023-17.30,78400,125,127
03173_01-01-2023-17.30,71500,154,156
03173_01-01-2023-17.30,71801,192,192
06307_01-01-2023-18.00,60000,0,0
06307_01-01-2023-18.00,71801,150,150
03183_01-01-2023-18.30,60000,0,0
03183_01-01-2023-18.30,04040,75,76
03183_01-01-2023-18.30,71500,134,136
03183_01-01-2023-18.30,71801,170,170
03191_01-01-2023-19.00,60000,0,0
03191_01-01-2023-19.00,71801,150,160
03191_01-01-2023-19.00,79300,198,200
03191_01-01-2023-19.00,04307,215,215
06309_01-01-2023-19.30,60000,0,0
06309_01-01-2023-19.30,70200,23,24
06309_01-01-2023-19.30,70600,59,60
06309_01-01-2023-19.30,04040,85,86
06309_01-01-2023-19.30,78400,129,131
06309_01-01-2023-19.30,71500,158,160
06309_01-01-2023-19.30,71801,196,206
06309_01-01-2023-19.30,79300,244,246
06309_01-01-2023-19.30,04307,261,261
03201_01-01-2023-20.00,60000,0,0
03201_01-01-2023-20.00,71801,150,150
03203_01-01-2023-20.40,60000,0,0
03203_01-01-2023-20.40,70200,23,24
03203_01-01-2023-20.40,70600,60,61
03203_01-01-2023-20.40,04040,85,86
03203_01-01-2023-20.40,78400,129,131
03203_01-01-2023-20.40,71500,158,160
03203_01-01-2023-20.40,71801,195,195
03211_01-01-2023-21.10,60000,0,0
03211_01-01-2023-21.10,71801,150,150
06301_02-01-2023-06.15,60000,0,0
06301_02-01-2023-06.15,71801,150,150
03063_02-01-2023-06.30,60000,0,0
03063_02-01-2023-06.30,70600,55,56
03063_02-01-2023-06.30,04040,81,82
03063_02-01-2023-06.30,71801,170,170
03073_02-01-2023-07.30,60000,0,0
03073_02-01-2023-07.30,70200,23,24
03073_02-01-2023-07.30,04040,81,82
03073_02-01-2023-07.30,78400,125,127
03073_02-01-2023-07.30,71500,154,156
03073_02-01-2023-07.30,71801,192,192
03083_02-01-2023-08.30,60000,0,0
03083_02-01-2023-08.30,04040,75,76
03083_02-01-2023-08.30,71801,165,165
03091_02-01-2023-09.00,60000,0,0
03091_02-01-2023-09.00,71801,150,150
03093_02-01-2023-09.30,60000,0,0
03093_02-01-2023-09.30,04040,75,76
03093_02-01-2023-09.30,78400,119,121
03093_02-01-2023-09.30,71500,148,150
03093_02-01-2023-09.30,71801,187,195
03093_02-01-2023-09.30,79300,233,235
03093_02-01-2023-09.30,04307,250,250
06303_02-01-2023-10.30,60000,0,0
06303_02-01-2023-10.30,04040,74,75
06303_02-01-2023-10.30,71801,165,165
03113_02-01-2023-11.30,60000,0,0
03113_02-01-2023-11.30,70600,55,56
03113_02-01-2023-11.30,04040,81,82
03113_02-01-2023-11.30,78400,125,127
03113_02-01-2023-11.30,71500,154,156
03113_02-01-2023-11.30,71801,192,192
03123_02-01-2023-12.30,60000,0,0
03123_02-01-2023-12.30,04040,75,76
03123_02-01-2023-12.30,78400,119,121
03123_02-01-2023-12.30,71801,190,200
03123_02-01-2023-12.30,79300,238,240
03123_02-01-2023-12.30,04307,255,255
19725_02-01-2023-13.25,60000,0,0
19725_02-01-2023-13.25,70200,23,25
19725_02-01-2023-13.25,04040,82,85
19725_02-01-2023-13.25,71500,139,141
19725_02-01-2023-13.25,71801,177,189
19725_02-01-2023-13.25,79300,227,230
19725_02-01-2023-13.25,04307,244,244
03143_02-01-2023-14.30,60000,0,0
03143_02-01-2023-14.30,70600,55,56
03143_02-01-2023-14.30,04040,81,82
03143_02-01-2023-14.30,71801,170,180
03143_02-01-2023-14.30,79300,218,220
03143_02-01-2023-14.30,04307,235,235
03151_02-01-2023-15.00,60000,0,0
03151_02-01-2023-15.00,71801,149,149
03153_02-01-2023-15.30,60000,0,0
03153_02-01-2023-15.30,70600,55,56
03153_02-01-2023-15.30,04040,81,82
03153_02-01-2023-15.30,78400,125,127
03153_02-01-2023-15.30,71500,154,156
03153_02-01-2023-15.30,71801,192,192
03163_02-01-2023-16.30,60000,0,0
03163_02-01-2023-16.30,04040,75,76
03163_02-01-2023-16.30,71801,165,175
03163_02-01-2023-16.30,79300,221,223
03163_02-01-2023-16.30,04307,238,238
03171_02-01-2023-17.00,60000,0,0
03171_02-01-2023-17.00,71801,150,150
03173_02-01-2023-17.30,60000,0,0
03173_02-01-2023-17.30,70200,23,24
03173_02-01-2023-17.30,04040,81,82
03173_02-01-2023-17.30,78400,125,127
03173_02-01-2023-17.30,71500,154,156
03173_02-01-2023-17.30,71801,192,192
06307_02-01-2023-18.00,60000,0,0
06307_02-01-2023-18.00,71801,150,150
03183_02-01-2023-18.30,60000,0,0
03183_02-01-2023-18.30,04040,75,76
03183_02-01-2023-18.30,71500,134,136
03183_02-01-2023-18.30,71801,170,170
03191_02-01-2023-19.00,60000,0,0
03191_02-01-2023-19.00,71801,150,160
03191_02-01-2023-19.00,79300,198,200
03191_02-01-2023-19.00,04307,215,215
06309_02-01-2023-19.30,60000,0,0
06309_02-01-2023-19.30,70200,23,24
06309_02-01-2023-19.30,70600,59,60
06309_02-01-2023-19.30,04040,85,86
06309_02-01-2023-19.30,78400,129,131
06309_02-01-2023-19.30,71500,158,160
06309_02-01-2023-19.30,71801,196,206
06309_02-01-2023-19.30,79300,244,246
06309_02-01-2023-19.30,04307,261,261
03203_02-01-2023-20.40,60000,0,0
03203_02-01-2023-20.40,70200,23,24
03203_02-01-2023-20.40,70600,60,61
03203_02-01-2023-20.40,04040,85,86
03203_02-01-2023-20.40,78400,129,131
03203_02-01-2023-20.40,71500,158,160
03203_02-01-2023-20.40,71801,195,195
03211_02-01-2023-21.10,60000,0,0
03211_02-01-2023-21.10,71801,150,150
06301_03-01-2023-06.15,60000,0,0
06301_03-01-2023-06.15,71801,150,150
03063_03-01-2023-06.30,60000,0,0
03063_03-01-2023-06.30,70600,55,56
03063_03-01-2023-06.30,04040,81,82
03063_03-01-2023-06.30,71801,170,170
03071_03-01-2023-07.00,60000,0,0
03071_03-01-2023-07.00,71801,150,150
03073_03-01-2023-07.30,60000,0,0
03073_03-01-2023-07.30,70200,23,24
03073_03-01-2023-07.30,04040,81,82
03073_03-01-2023-07.30,78400,125,127
03073_03-01-2023-07.30,71500,154,156
03073_03-01-2023-07.30,71801,192,192
03081_03-01-2023-08.00,60000,0,0
03081_03-01-2023-08.00,71801,150,150
03083_03-01-2023-08.30,60000,0,0
03083_03-01-2023-08.30,04040,75,76
03083_03-01-2023-08.30,71801,165,165
03091_03-01-2023-09.00,60000,0,0
03091_03-01-2023-09.00,71801,150,150
03093_03-01-2023-09.30,60000,0,0
03093_03-01-2023-09.30,04040,75,76
03093_03-01-2023-09.30,78400,119,121
03093_03-01-2023-09.30,71500,148,150
03093_03-01-2023-09.30,71801,187,195
03093_03-01-2023-09.30,79300,233,235
03093_03-01-2023-09.30,04307,250,250
06303_03-01-2023-10.30,60000,0,0
06303_03-01-2023-10.30,04040,74,75
06303_03-01-2023-10.30,71801,165,165
03113_03-01-2023-11.30,60000,0,0
03113_03-01-2023-11.30,70600,55,56
03113_03-01-2023-11.30,04040,81,82
03113_03-01-2023-11.30,78400,125,127
03113_03-01-2023-11.30,71500,154,156
03113_03-01-2023-11.30,71801,192,192
03123_03-01-2023-12.30,60000,0,0
03123_03-01-2023-12.30,04040,75,76
03123_03-01-2023-12.30,78400,119,121
03123_03-01-2023-12.30,71801,190,200
03123_03-01-2023-12.30,79300,238,240
03123_03-01-2023-12.30,04307,255,255
03131_03-01-2023-13.00,60000,0,0
03131_03-01-2023-13.00,71801,150,150
19725_03-01-2023-13.25,60000,0,0
19725_03-01-2023-13.25,70200,23,25
19725_03-01-2023-13.25,04040,82,85
19725_03-01-2023-13.25,71500,139,141
19725_03-01-2023-13.25,71801,177,189
19725_03-01-2023-13.25,79300,227,230
19725_03-01-2023-13.25,04307,244,244
03143_03-01-2023-14.30,60000,0,0
03143_03-01-2023-14.30,70600,55,56
03143_03-01-2023-14.30,04040,81,82
03143_03-01-2023-14.30,71801,170,180
03143_03-01-2023-14.30,79300,218,220
03143_03-01-2023-14.30,04307,235,235
03151_03-01-2023-15.00,60000,0,0
03151_03-01-2023-15.00,71801,149,149
03153_03-01-2023-15.30,60000,0,0
03153_03-01-2023-15.30,70600,55,56
03153_03-01-2023-15.30,04040,81,82
03153_03-01-2023-15.30,78400,125,127
03153_03-01-2023-15.30,71500,154,156
03153_03-01-2023-15.30,71801,192,192
03161_03-01-2023-16.00,60000,0,0
03161_03-01-2023-16.00,71801,150,150
03163_03-01-2023-16.30,60000,0,0
03163_03-01-2023-16.30,04040,75,76
03163_03-01-2023-16.30,71801,165,175
03163_03-01-2023-16.30,79300,221,223
03163_03-01-2023-16.30,04307,238,238
03171_03-01-2023-17.00,60000,0,0
03171_03-01-2023-17.00,71801,150,150
03173_03-01-2023-17.30,60000,0,0
03173_03-01-2023-17.30,70200,23,24
03173_03-01-2023-17.30,04040,81,82
03173_03-01-2023-17.30,78400,125,127
03173_03-01-2023-17.30,71500,154,156
03173_03-01-2023-17.30,71801,192,192
06307_03-01-2023-18.00,60000,0,0
06307_03-01-2023-18.00,71801,150,150
03183_03-01-2023-18.30,60000,0,0
03183_03-01-2023-18.30,04040,75,76
03183_03-01-2023-18.30,71500,134,136
03183_03-01-2023-18.30,71801,170,170
03191_03-01-2023-19.00,60000,0,0
03191_03-01-2023-19.00,71801,150,160
03191_03-01-2023-19.00,79300,198,200
03191_03-01-2023-19.00,04307,215,215
06309_03-01-2023-19.30,60000,0,0
06309_03-01-2023-19.30,70200,23,24
06309_03-01-2023-19.30,70600,59,60
06309_03-01-2023-19.30,04040,85,86
06309_03-01-2023-19.30,78400,129,131
06309_03-01-2023-19.30,71500,158,160
06309_03-01-2023-19.30,71801,196,206
06309_03-01-2023-19.30,79300,244,246
06309_03-01-2023-19.30,04307,261,261
03201_03-01-2023-20.00,60000,0,0
03201_03-01-2023-20.00,71801,150,150
03203_03-01-2023-20.40,60000,0,0
03203_03-01-2023-20.40,70200,23,24
03203_03-01-2023-20.40,70600,60,61
03203_03-01-2023-20.40,04040,85,86
03203_03-01-2023-20.40,78400,129,131
03203_03-01-2023-20.40,71500,158,160
03203_03-01-2023-20.40,71801,195,195
03211_03-01-2023-21.10,60000,0,0
03211_03-01-2023-21.10,71801,150,150
06301_04-01-2023-06.15,60000,0,0
06301_04-01-2023-06.15,71801,150,150
03063_04-01-2023-06.30,60000,0,0
03063_04-01-2023-06.30,70600,55,56
03063_04-01-2023-06.30,04040,81,82
03063_04-01-2023-06.30,71801,170,170
03071_04-01-2023-07.00,60000,0,0
03071_04-01-2023-07.00,71801,150,150
03073_04-01-2023-07.30,60000,0,0
03073_04-01-2023-07.30,70200,23,24
03073_04-01-2023-07.30,04040,81,82
03073_04-01-2023-07.30,78400,125,127
03073_04-01-2023-07.30,71500,154,156
03073_04-01-2023-07.30,71801,192,192
03081_04-01-2023-08.00,60000,0,0
03081_04-01-2023-08.00,71801,150,150
03083_04-01-2023-08.30,60000,0,0
03083_04-01-2023-08.30,04040,75,76
03083_04-01-2023-08.30,71801,165,165
03091_04-01-2023-09.00,60000,0,0
03091_04-01-2023-09.00,71801,150,150
03093_04-01-2023-09.30,60000,0,0
03093_04-01-2023-09.30,04040,75,76
03093_04-01-2023-09.30,78400,119,121
03093_04-01-2023-09.30,71500,148,150
03093_04-01-2023-09.30,71801,187,195
03093_04-01-2023-09.30,79300,233,235
03093_04-01-2023-09.30,04307,250,250
06303_04-01-2023-10.30,60000,0,0
06303_04-01-2023-10.30,04040,74,75
06303_04-01-2023-10.30,71801,165,165
03113_04-01-2023-11.30,60000,0,0
03113_04-01-2023-11.30,70600,55,56
03113_04-01-2023-11.30,04040,81,82
03113_04-01-2023-11.30,78400,125,127
03113_04-01-2023-11.30,71500,154,156
03113_04-01-2023-11.30,71801,192,192
03123_04-01-2023-12.30,60000,0,0
03123_04-01-2023-12.30,04040,75,76
03123_04-01-2023-12.30,78400,119,121
03123_04-01-2023-12.30,71801,190,200
03123_04-01-2023-12.30,79300,238,240
03123_04-01-2023-12.30,04307,255,255
03131_04-01-2023-13.00,60000,0,0
03131_04-01-2023-13.00,71801,150,150
19725_04-01-2023-13.25,60000,0,0
19725_04-01-2023-13.25,70200,23,25
19725_04-01-2023-13.25,04040,82,85
19725_04-01-2023-13.25,71500,139,141
19725_04-01-2023-13.25,71801,177,189
19725_04-01-2023-13.25,79300,227,230
19725_04-01-2023-13.25,04307,244,244
03143_04-01-2023-14.30,60000,0,0
03143_04-01-2023-14.30,70600,55,56
03143_04-01-2023-14.30,04040,81,82
03143_04-01-2023-14.30,71801,170,180
03143_04-01-2023-14.30,79300,218,220
03143_04-01-2023-14.30,04307,235,235
03151_04-01-2023-15.00,60000,0,0
03151_04-01-2023-15.00,71801,149,149
03153_04-01-2023-15.30,60000,0,0
03153_04-01-2023-15.30,70600,55,56
03153_04-01-2023-15.30,04040,81,82
03153_04-01-2023-15.30,78400,125,127
03153_04-01-2023-15.30,71500,154,156
03153_04-01-2023-15.30,71801,192,192
03161_04-01-2023-16.00,60000,0,0
03161_04-01-2023-16.00,71801,150,150
03163_04-01-2023-16.30,60000,0,0
03163_04-01-2023-16.30,04040,75,76
03163_04-01-2023-16.30,71801,165,175
03163_04-01-2023-16.30,79300,221,223
03163_04-01-2023-16.30,04307,238,238
03171_04-01-2023-17.00,60000,0,0
03171_04-01-2023-17.00,71801,150,150
03173_04-01-2023-17.30,60000,0,0
03173_04-01-2023-17.30,70200,23,24
03173_04-01-2023-17.30,04040,81,82
03173_04-01-2023-17.30,78400,125,127
03173_04-01-2023-17.30,71500,154,156
03173_04-01-2023-17.30,71801,192,192
06307_04-01-2023-18.00,60000,0,0
06307_04-01-2023-18.00,71801,150,150
03183_04-01-2023-18.30,60000,0,0
03183_04-01-2023-18.30,04040,75,76
03183_04-01-2023-18.30,71500,134,136
03183_04-01-2023-18.30,71801,170,170
03191_04-01-2023-19.00,60000,0,0
03191_04-01-2023-19.00,71801,150,160
03191_04-01-2023-19.00,79300,198,200
03191_04-01-2023-19.00,04307,215,215
06309_04-01-2023-19.30,60000,0,0
06309_04-01-2023-19.30,70200,23,24
06309_04-01-2023-19.30,70600,59,60
06309_04-01-2023-19.30,04040,85,86
06309_04-01-2023-19.30,78400,129,131
06309_04-01-2023-19.30,71500,158,160
06309_04-01-2023-19.30,71801,196,206
06309_04-01-2023-19.30,79300,244,246
06309_04-01-2023-19.30,04307,261,261
03201_04-01-2023-20.00,60000,0,0
03201_04-01-2023-20.00,71801,150,150
03203_04-01-2023-20.40,60000,0,0
03203_04-01-2023-20.40,70200,23,24
03203_04-01-2023-20.40,70600,60,61
03203_04-01-2023-20.40,04040,85,86
03203_04-01-2023-20.40,78400,129,131
03203_04-01-2023-20.40,71500,158,160
03203_04-01-2023-20.40,71801,195,195
03211_04-01-2023-21.10,60000,0,0
03211_04-01-2023-21.10,71801,150,150
06301_05-01-2023-06.15,60000,0,0
06301_05-01-2023-06.15,71801,150,150
03063_05-01-2023-06.30,60000,0,0
03063_05-01-2023-06.30,70600,55,56
03063_05-01-2023-06.30,04040,81,82
03063_05-01-2023-06.30,71801,170,170
03071_05-01-2023-07.00,60000,0,0
03071_05-01-2023-07.00,71801,150,150
03073_05-01-2023-07.30,60000,0,0
03073_05-01-2023-07.30,70200,23,24
03073_05-01-2023-07.30,04040,81,82
03073_05-01-2023-07.30,78400,125,127
03073_05-01-2023-07.30,71500,154,156
03073_05-01-2023-07.30,71801,192,192
03081_05-01-2023-08.00,60000,0,0
03081_05-01-2023-08.00,71801,150,150
03083_05-01-2023-08.30,60000,0,0
03083_05-01-2023-08.30,04040,75,76
03083_05-01-2023-08.30,71801,165,165
03091_05-01-2023-09.00,60000,0,0
03091_05-01-2023-09.00,71801,150,150
03093_05-01-2023-09.30,60000,0,0
03093_05-01-2023-09.30,04040,75,76
03093_05-01-2023-09.30,78400,119,121
03093_05-01-2023-09.30,71500,148,150
03093_05-01-2023-09.30,71801,187,195
03093_05-01-2023-09.30,79300,233,235
03093_05-01-2023-09.30,04307,250,250
06303_05-01-2023-10.30,60000,0,0
06303_05-01-2023-10.30,04040,74,75
06303_05-01-2023-10.30,71801,165,165
03113_05-01-2023-11.30,60000,0,0
03113_05-01-2023-11.30,70600,55,56
03113_05-01-2023-11.30,04040,81,82
03113_05-01-2023-11.30,78400,125,127
03113_05-01-2023-11.30,71500,154,156
03113_05-01-2023-11.30,71801,192,192
03123_05-01-2023-12.30,60000,0,0
03123_05-01-2023-12.30,04040,75,76
03123_05-01-2023-12.30,78400,119,121
03123_05-01-2023-12.30,71801,190,200
03123_05-01-2023-12.30,79300,238,240
03123_05-01-2023-12.30,04307,255,255
03131_05-01-2023-13.00,60000,0,0
03131_05-01-2023-13.00,71801,150,150
19725_05-01-2023-13.25,60000,0,0
19725_05-01-2023-13.25,70200,23,25
19725_05-01-2023-13.25,04040,82,85
19725_05-01-2023-13.25,71500,139,141
19725_05-01-2023-13.25,71801,177,189
19725_05-01-2023-13.25,79300,227,230
19725_05-01-2023-13.25,04307,244,244
03143_05-01-2023-14.30,60000,0,0
03143_05-01-2023-14.30,70600,55,56
03143_05-01-2023-14.30,04040,81,82
03143_05-01-2023-14.30,71801,170,180
03143_05-01-2023-14.30,79300,218,220
03143_05-01-2023-14.30,04307,235,235
03151_05-01-2023-15.00,60000,0,0
03151_05-01-2023-15.00,71801,149,149
03153_05-01-2023-15.30,60000,0,0
03153_05-01-2023-15.30,70600,55,56
03153_05-01-2023-15.30,04040,81,82
03153_05-01-2023-15.30,78400,125,127
03153_05-01-2023-15.30,71500,154,156
03153_05-01-2023-15.30,71801,192,192
03161_05-01-2023-16.00,60000,0,0
03161_05-01-2023-16.00,71801,150,150
03163_05-01-2023-16.30,60000,0,0
03163_05-01-2023-16.30,04040,75,76
03163_05-01-2023-16.30,71801,165,175
03163_05-01-2023-16.30,79300,221,223
03163_05-01-2023-16.30,04307,238,238
03171_05-01-2023-17.00,60000,0,0
03171_05-01-2023-17.00,71801,150,150
03173_05-01-2023-17.30,60000,0,0
03173_05-01-2023-17.30,70200,23,24
03173_05-01-2023-17.30,04040,81,82
03173_05-01-2023-17.30,78400,125,127
03173_05-01-2023-17.30,71500,154,156
03173_05-01-2023-17.30,71801,192,192
06307_05-01-2023-18.00,60000,0,0
06307_05-01-2023-18.00,71801,150,150
03183_05-01-2023-18.30,60000,0,0
03183_05-01-2023-18.30,04040,75,76
03183_05-01-2023-18.30,71500,134,136
03183_05-01-2023-18.30,71801,170,170
03191_05-01-2023-19.00,60000,0,0
03191_05-01-2023-19.00,71801,150,160
03191_05-01-2023-19.00,79300,198,200
03191_05-01-2023-19.00,04307,215,215
06309_05-01-2023-19.30,60000,0,0
06309_05-01-2023-19.30,70200,23,24
06309_05-01-2023-19.30,70600,59,60
06309_05-01-2023-19.30,04040,85,86
06309_05-01-2023-19.30,78400,129,131
06309_05-01-2023-19.30,71500,158,160
06309_05-01-2023-19.30,71801,196,206
06309_05-01-2023-19.30,79300,244,246
06309_05-01-2023-19.30,04307,261,261
03201_05-01-2023-20.00,60000,0,0
03201_05-01-2023-20.00,71801,150,150
03203_05-01-2023-20.40,60000,0,0
03203_05-01-2023-20.40,70200,23,24
03203_05-01-2023-20.40,70600,60,61
03203_05-01-2023-20.40,04040,85,86
03203_05-01-2023-20.40,78400,129,131
03203_05-01-2023-20.40,71500,158,160
03203_05-01-2023-20.40,71801,195,195
03211_05-01-2023-21.10,60000,0,0
03211_05-01-2023-21.10,71801,150,150
06301_06-01-2023-06.15,60000,0,0
06301_06-01-2023-06.15,71801,150,150
03063_06-01-2023-06.30,60000,0,0
03063_06-01-2023-06.30,70600,55,56
03063_06-01-2023-06.30,04040,81,82
03063_06-01-2023-06.30,71801,170,170
03071_06-01-2023-07.00,60000,0,0
03071_06-01-2023-07.00,71801,150,150
03073_06-01-2023-07.30,60000,0,0
03073_06-01-2023-07.30,70200,23,24
03073_06-01-2023-07.30,04040,81,82
03073_06-01-2023-07.30,78400,125,127
03073_06-01-2023-07.30,71500,154,156
03073_06-01-2023-07.30,71801,192,192
03081_06-01-2023-08.00,60000,0,0
03081_06-01-2023-08.00,71801,150,150
03091_06-01-2023-09.00,60000,0,0
03091_06-01-2023-09.00,71801,150,150
03093_06-01-2023-09.30,60000,0,0
03093_06-01-2023-09.30,04040,75,76
03093_06-01-2023-09.30,78400,119,121
03093_06-01-2023-09.30,71500,148,150
03093_06-01-2023-09.30,71801,187,195
03093_06-01-2023-09.30,79300,233,235
03093_06-01-2023-09.30,04307,250,250
06303_06-01-2023-10.30,60000,0,0
06303_06-01-2023-10.30,04040,74,75
06303_06-01-2023-10.30,71801,165,165
03113_06-01-2023-11.30,60000,0,0
03113_06-01-2023-11.30,70600,55,56
03113_06-01-2023-11.30,04040,81,82
03113_06-01-2023-11.30,78400,125,127
03113_06-01-2023-11.30,71500,154,156
03113_06-01-2023-11.30,71801,192,192
03123_06-01-2023-12.30,60000,0,0
03123_06-01-2023-12.30,04040,75,76
03123_06-01-2023-12.30,78400,119,121
03123_06-01-2023-12.30,71801,190,200
03123_06-01-2023-12.30,79300,238,240
03123_06-01-2023-12.30,04307,255,255
19725_06-01-2023-13.25,60000,0,0
19725_06-01-2023-13.25,70200,23,25
19725_06-01-2023-13.25,04040,82,85
19725_06-01-2023-13.25,71500,139,141
19725_06-01-2023-13.25,71801,177,189
19725_06-01-2023-13.25,79300,227,230
19725_06-01-2023-13.25,04307,244,244
03143_06-01-2023-14.30,60000,0,0
03143_06-01-2023-14.30,70600,55,56
03143_06-01-2023-14.30,04040,81,82
03143_06-01-2023-14.30,71801,170,180
03143_06-01-2023-14.30,79300,218,220
03143_06-01-2023-14.30,04307,235,235
03151_06-01-2023-15.00,60000,0,0
03151_06-01-2023-15.00,71801,149,149
03153_06-01-2023-15.30,60000,0,0
03153_06-01-2023-15.30,70600,55,56
03153_06-01-2023-15.30,04040,81,82
03153_06-01-2023-15.30,78400,125,127
03153_06-01-2023-15.30,71500,154,156
03153_06-01-2023-15.30,71801,192,192
03161_06-01-2023-16.00,60000,0,0
03161_06-01-2023-16.00,71801,150,150
03163_06-01-2023-16.30,60000,0,0
03163_06-01-2023-16.30,04040,75,76
03163_06-01-2023-16.30,71801,165,175
03163_06-01-2023-16.30,79300,221,223
03163_06-01-2023-16.30,04307,238,238
03171_06-01-2023-17.00,60000,0,0
03171_06-01-2023-17.00,71801,150,150
03173_06-01-2023-17.30,60000,0,0
03173_06-01-2023-17.30,70200,23,24
03173_06-01-2023-17.30,04040,81,82
03173_06-01-2023-17.30,78400,125,127
03173_06-01-2023-17.30,71500,154,156
03173_06-01-2023-17.30,71801,192,192
06307_06-01-2023-18.00,60000,0,0
06307_06-01-2023-18.00,71801,150,150
03183_06-01-2023-18.30,60000,0,0
03183_06-01-2023-18.30,04040,75,76
03183_06-01-2023-18.30,71500,134,136
03183_06-01-2023-18.30,71801,170,170
03191_06-01-2023-19.00,60000,0,0
03191_06-01-2023-19.00,71801,150,150
06309_06-01-2023-19.30,60000,0,0
06309_06-01-2023-19.30,70200,23,24
06309_06-01-2023-19.30,70600,59,60
06309_06-01-2023-19.30,04040,85,86
06309_06-01-2023-19.30,78400,129,131
06309_06-01-2023-19.30,71500,158,160
06309_06-01-2023-19.30,71801,196,206
06309_06-01-2023-19.30,79300,244,246
06309_06-01-2023-19.30,04307,261,261
03201_06-01-2023-20.00,60000,0,0
03201_06-01-2023-20.00,71801,150,150
03203_06-01-2023-20.40,60000,0,0
03203_06-01-2023-20.40,70200,23,24
03203_06-01-2023-20.40,70600,60,61
03203_06-01-2023-20.40,04040,85,86
03203_06-01-2023-20.40,78400,129,131
03203_06-01-2023-20.40,71500,158,160
03203_06-01-2023-20.40,71801,195,195
03211_06-01-2023-21.10,60000,0,0
03211_06-01-2023-21.10,71801,150,150
06301_07-01-2023-06.15,60000,0,0
06301_07-01-2023-06.15,71801,150,150
03073_07-01-2023-07.30,60000,0,0
03073_07-01-2023-07.30,70200,23,24
03073_07-01-2023-07.30,04040,81,82
03073_07-01-2023-07.30,78400,125,127
03073_07-01-2023-07.30,71500,154,156
03073_07-01-2023-07.30,71801,192,200
03073_07-01-2023-07.30,79300,238,240
03073_07-01-2023-07.30,04307,255,255
03083_07-01-2023-08.30,60000,0,0
03083_07-01-2023-08.30,04040,75,76
03083_07-01-2023-08.30,71801,165,165
03091_07-01-2023-09.00,60000,0,0
03091_07-01-2023-09.00,71801,150,150
03093_07-01-2023-09.30,60000,0,0
03093_07-01-2023-09.30,04040,75,76
03093_07-01-2023-09.30,78400,119,121
03093_07-01-2023-09.30,71500,148,150
03093_07-01-2023-09.30,71801,187,195
03093_07-01-2023-09.30,79300,233,235
03093_07-01-2023-09.30,04307,250,250
06303_07-01-2023-10.30,60000,0,0
06303_07-01-2023-10.30,04040,74,75
06303_07-01-2023-10.30,71801,165,165
03113_07-01-2023-11.30,60000,0,0
03113_07-01-2023-11.30,70600,55,56
03113_07-01-2023-11.30,04040,81,82
